sequence,peptide,residue,position_1idx,weight,role,mechanism
NTDEEEGGEIVFGGVDPK,GGE,D,3,1.5,metal chelator (weak),Carboxyl group can chelate transition metal ions
NTDEEEGGEIVFGGVDPK,GGE,E,4,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
NTDEEEGGEIVFGGVDPK,GGE,E,5,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
NTDEEEGGEIVFGGVDPK,GGE,E,6,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
NTDEEEGGEIVFGGVDPK,GGE,E,9,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
NTDEEEGGEIVFGGVDPK,GGE,F,12,1.0,hydrophobic / pi-stacking,Aromatic ring provides hydrophobic shielding
NTDEEEGGEIVFGGVDPK,GGE,D,16,1.5,metal chelator (weak),Carboxyl group can chelate transition metal ions
NTDEEEGGEIVFGGVDPK,GGE,P,17,0.5,structural constraint,"Constrains backbone, may enhance active conformation"
NTDEEEGGEIVF,GGE,D,3,1.5,metal chelator (weak),Carboxyl group can chelate transition metal ions
NTDEEEGGEIVF,GGE,E,4,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
NTDEEEGGEIVF,GGE,E,5,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
NTDEEEGGEIVF,GGE,E,6,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
NTDEEEGGEIVF,GGE,E,9,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
NTDEEEGGEIVF,GGE,F,12,1.0,hydrophobic / pi-stacking,Aromatic ring provides hydrophobic shielding
NTDEEEGGEIV,GGE,D,3,1.5,metal chelator (weak),Carboxyl group can chelate transition metal ions
NTDEEEGGEIV,GGE,E,4,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
NTDEEEGGEIV,GGE,E,5,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
NTDEEEGGEIV,GGE,E,6,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
NTDEEEGGEIV,GGE,E,9,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
LYQCMEFVR,CME,Y,2,2.5,phenolic H-donor,Phenolic -OH donates H-atom; conjugated ring stabilises radical
LYQCMEFVR,CME,C,4,3.0,thiol radical scavenger,Thiol group donates H-atom to neutralise radicals
LYQCMEFVR,CME,M,5,2.5,thioether radical scavenger,Thioether group has strong reducing properties
LYQCMEFVR,CME,E,6,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
LYQCMEFVR,CME,F,7,1.0,hydrophobic / pi-stacking,Aromatic ring provides hydrophobic shielding
QCME,CME,C,2,3.0,thiol radical scavenger,Thiol group donates H-atom to neutralise radicals
QCME,CME,M,3,2.5,thioether radical scavenger,Thioether group has strong reducing properties
QCME,CME,E,4,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
NPYIYK,YIY,P,2,0.5,structural constraint,"Constrains backbone, may enhance active conformation"
NPYIYK,YIY,Y,3,2.5,phenolic H-donor,Phenolic -OH donates H-atom; conjugated ring stabilises radical
NPYIYK,YIY,Y,5,2.5,phenolic H-donor,Phenolic -OH donates H-atom; conjugated ring stabilises radical
GGE,GGE,E,3,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
CME,CME,C,1,3.0,thiol radical scavenger,Thiol group donates H-atom to neutralise radicals
CME,CME,M,2,2.5,thioether radical scavenger,Thioether group has strong reducing properties
CME,CME,E,3,1.5,metal chelator (weak),"Carboxyl group can chelate transition metal ions (Fe²⁺, Cu²⁺)"
YIY,YIY,Y,1,2.5,phenolic H-donor,Phenolic -OH donates H-atom; conjugated ring stabilises radical
YIY,YIY,Y,3,2.5,phenolic H-donor,Phenolic -OH donates H-atom; conjugated ring stabilises radical
